pid,process_name,access_label,success,error_code,error_message
3592,svchost.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
3592,svchost.exe,PROCESS_VM_READ,0,5,"Access denied"
3592,svchost.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
3592,svchost.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
3592,svchost.exe,PROCESS_VM_WRITE,0,5,"Access denied"
3592,svchost.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
3848,spoolsv.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
3848,spoolsv.exe,PROCESS_VM_READ,0,5,"Access denied"
3848,spoolsv.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
3848,spoolsv.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
3848,spoolsv.exe,PROCESS_VM_WRITE,0,5,"Access denied"
3848,spoolsv.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
3884,WmiPrvSE.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
3884,WmiPrvSE.exe,PROCESS_VM_READ,0,5,"Access denied"
3884,WmiPrvSE.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
3884,WmiPrvSE.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
3884,WmiPrvSE.exe,PROCESS_VM_WRITE,0,5,"Access denied"
3884,WmiPrvSE.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
4072,svchost.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
4072,svchost.exe,PROCESS_VM_READ,0,5,"Access denied"
4072,svchost.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
4072,svchost.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
4072,svchost.exe,PROCESS_VM_WRITE,0,5,"Access denied"
4072,svchost.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
4172,svchost.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
4172,svchost.exe,PROCESS_VM_READ,0,5,"Access denied"
4172,svchost.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
4172,svchost.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
4172,svchost.exe,PROCESS_VM_WRITE,0,5,"Access denied"
4172,svchost.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
4188,svchost.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
4188,svchost.exe,PROCESS_VM_READ,0,5,"Access denied"
4188,svchost.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
4188,svchost.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
4188,svchost.exe,PROCESS_VM_WRITE,0,5,"Access denied"
4188,svchost.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
4196,svchost.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
4196,svchost.exe,PROCESS_VM_READ,0,5,"Access denied"
4196,svchost.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
4196,svchost.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
4196,svchost.exe,PROCESS_VM_WRITE,0,5,"Access denied"
4196,svchost.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
4204,svchost.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
4204,svchost.exe,PROCESS_VM_READ,0,5,"Access denied"
4204,svchost.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
4204,svchost.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
4204,svchost.exe,PROCESS_VM_WRITE,0,5,"Access denied"
4204,svchost.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
4212,mDNSResponder.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
4212,mDNSResponder.exe,PROCESS_VM_READ,0,5,"Access denied"
4212,mDNSResponder.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
4212,mDNSResponder.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
4212,mDNSResponder.exe,PROCESS_VM_WRITE,0,5,"Access denied"
4212,mDNSResponder.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
4220,CmWebAdmin.exe,PROCESS_QUERY_INFORMATION,0,5,"Access denied"
4220,CmWebAdmin.exe,PROCESS_VM_READ,0,5,"Access denied"
4220,CmWebAdmin.exe,QUERY_INFORMATION | VM_READ,0,5,"Access denied"
4220,CmWebAdmin.exe,PROCESS_VM_OPERATION,0,5,"Access denied"
4220,CmWebAdmin.exe,PROCESS_VM_WRITE,0,5,"Access denied"
4220,CmWebAdmin.exe,PROCESS_CREATE_THREAD,0,5,"Access denied"
